id;name
18352;Aniplex Inc.
18403;Golem Consulting
18444;Athlon Games
18466;Sectordub
18470;Akatsuki Works
18471;Veewo Games
18473;KillPixel
18474;1C Entertainment
18476;Games Operators
18478;AnvilBird Interactive
18479;Jestercraft
18483;Desert Fox
18484;Magic Sandbox
18485;RNOVA Studio
18493;MassHive Media
18499;FABLED GAME STUDIO
18504;Studio Gier
18505;Silesia Games
18529;Endless Shirafu
18531;ONE PR Studio
18532;Koei Tecmo
18535;Megagon Industries
18541;Exe Create Inc.
18554;Black Train
18557;T4 Interactive
18558;tinyBuild Games
18561;DLsite
18572;Event Horizon Studios
18573;34BigThings srl
18574;Igor Krutov
18575;Kiss Publishing Ltd
18584;7DOTS
18597;Aesir Interactive
18629;Fellow Traveller
18656;Mobo Studio
18657;Acram Digital
18658;Red Kite Games
18659;Richard Hogg
18683;Smart Tale Games
18754;GrabTheGames
18759;Tendershoot, Michael Lasch, ThatWhichIs Media
18767;Baldur Games
18768;Gaming Factory S.A.
18787;Alawar Premium
18802;Arbitrary Metric
18808;SIE London Studios
18809;Arkane Studios SA
18820;Kindman
18821;InSayn
18890;Atriagames
18895;Woollygame
18903;TALEROCK
18904;Asterion Games
18916;Storeen Games
18917;Tesura Games
18918;Avance
18922;Forgevision, Inc.
18928;Hiqosoft
18929;Sol Press
18956;MAGES. Inc.
18969;Lumen Section
18978;Brave Giant LTD
18981;Ezekiel Rage
18990;Red Blue Games
18998;Puppet Combo
19007;FoxNext, Fig Publishing Inc.
19012;Just Add Oil Games
19017;Andrea Interguglielmi
19033;Grey Wolf Entertainment
19042;Infinite Rage
19045;Wakefield Interactive
19046;Whitethorn Digital
19047;Chimeric
19053;All In! Games
19054;Happy Corruption
19058;Sick Chicken Studios
19068;Purple Tree Games
19070;Fuji Games
19080;Ryu ga Gotoku Studios
19084;Owned by Gravity
19094;Yostar Games
19095;Cat Food Studio
19103;TallBoys
19104;Norwegian Film Institute (NFI)
19106;Lionsgate Games
19117;Winking Skywalker Entertainment
19118;devCAT Studio
19119;Nexon Korea Corporation
19122;Medienboard Berlin-Brandenburg
19126;Mad Head Games
19165;Pixelteriyaki
19174;Art of Horology
19175;Steven Richardson
19176;Michael McMurdy
19177;Joshua Towns
19178;Andrea Fiorito
19182;Feld Motor Sports, Inc.
19184;Studio Erikson
19186;Daniel A. Ramirez
19195;Vermillion Digital
19196;Fantastico Studio
19204;JoshProd
19234;Twitch
19237;Ant.Karlov
19250;UmaikiGames
19271;Abrakam SA
19272;Wooden Monkeys
25835;Dissatisfied with Badgers
25836;Johannes Köberle
25837;Arno Justus
25839;Wolod
25911;King Tec Information Co., Ltd.
25912;Wah Lap
25918;Mario Fan Games Galaxy
25954;Bite the Chili Productions
25955;AtariAge
26021;Andrew Smith
26074;Dullahan Software
26082;Tangram Games
26092;Polygonal Wolf
26151;MiCake
26152;Bitlock Studio
26263;SMW Central
26273;GBAtemp
26315;Justdan
26342;Indefatigable
26380;Random.NICK
26448;Areazero
26478;Foxen
26490;NA Publishing
26496;TheGael95
26497;Aglab2
26523;The N Main Shop
26550;Hooksoft
26553;Sekai Games
26573;Hylian Modding
26682;Bandai, HEROZ
26786;Sisi Jiang
26839;Frozen Flame Interactive
26847;Subtle Games
26854;Tuomo Laine
26855;Tuomo's games
26881;Hexagoon Studios
26961;Thalamus Digital
26964;Jas
26965;Kamilla's Rainbow
27038;Crimson Ghost Games
27039;Lisandro Lorea
27056;Triplevision Games
27072;Melos Han-Tani
27073;Marina Kittaka
27078;GameNet
27138;Daisy2
27245;2Awesome Partners
27260;Enhance
27299;sonichacking.org
27304;Primula
27314;Ichicolumn
27347;Indian Land Tenure Foundation
27348;Michigan State University's GEL Lab
27378;Hook Games
2887;GIGA Team Baldrhead
2909;FuRyu
2910;1-UP Studio
2918;Tehkan
2921;Ubisoft Kiev
2922;Crypton Future Media
2923;Toybox Inc.
2926;Three Rings Inc.
2932;Ghostlight Ltd.
2933;Q-Games Ltd.
2946;Nitroplus
2952;Kylotonn Games
2976;Autumn Games
2983;Nomad Games
2992;Buka Entertainment
3006;Gaming Minds Studios
3010;Headup Games
3014;MOSS Co., Ltd.
3019;Triangle Service
3020;JAST USA
3031;Key
3032;Prototype
3037;Maximum Games
3045;Aquaplus
3046;Gust
3049;Triangle Studios
3055;Felistella
3069;Pixelopus
3077;EKO Software
3078;En Masse Entertainment
3115;Bluehole Studio
3122;Deconstructeam
3162;Night Dive Studios
3189;A Sharp, LLC
3192;Krillbite Studio
3207;Red Thread Games
3223;New Star Games Ltd
3225;CreativeForge Games
3226;Armature Studio
3227;Zoo Corporation
3246;Blur Studio
3308;Blind Squirrel Games
3312;Dark Horse
3331;Streamline Studios
3369;Artefacts Studio
3501;Paw Paw Productions
3544;Performance Designed Products
3573;Umbra
3592;The Lego Group
3595;Tencent Games
3596;Mail.Ru
3689;Roll7
3701;Nicalis, Inc.
3702;Tonkin House
3711;Qute Corporation
3727;Aeria Games
3817;Destructive Creations
3820;KISS ltd
3828;SmashGames
3834;Brace Yourself Games
3909;Nigoro
3913;EnjoyUp Games
3957;M2H
3958;Bandai Namco Games
3980;The Workshop Entertainment
4034;Nintendo of Europe
4091;PQube
4096;Vertigo Games
4110;Micronics
4111;Midway Studios San Diego
4112;Soft Bank
4113;Art Data Interactive
4114;Bashou House
4115;Lion Entertainment
4119;Mirrorsoft
4133;11 bit studios
4141;UIEvolution
4148;EA Romania
4178;HBO
4181;MojoTouch
4184;Storm in a Teacup
4226;Broken Rules
4242;Heartbeat
4265;Netchubiyori
4320;Adventure Productions
4353;Playrise Digital
4356;Giant Sparrow
4357;SIE Santa Monica Studio
4363;AGM Playism
4364;Zaxis Games
4417;Mighty Rabbit Studios
4440;Adult Swim Games
4459;Rodeo Games
4460;Twistplay
4461;Chilled Mouse
4468;SEGA of Japan
4484;Hardlight
4501;DotEmu
4541;Kunabi Brother
4542;Eden Industries
4594;Qubic Games
4598;Bloober Team
4602;BlitWorks
4604;Dramatic Create
4607;Otomate
4611;Giga
4624;HumaNature Studios
4643;Kasedo Games
4672;Edmund McMillen
4673;Pocketwatch Games
4675;Monkey Business
4678;Beijing Perfect World
4695;Flat Earth Games
4696;Tortuga Team
4697;Noodlecake Studios Inc.
4706;Degica
4726;Merge Games
4741;Forever Entertainment S. A.
4742;The Binary Mill
4745;JoyMasher
4747;Robotality
4753;Beatshapers
4769;17-BIT
4777;SkyGoblin
11145;Witching Hour Studios
11146;Ysbryd Games
11162;Angel
11176;Nidecom Soft
11255;Mediascape
11262;Gearbox Publishing
11285;Throughline Games
11337;Triple Eh?
11394;Jaleco Entertainment
11397;Locomalito
11398;Abylight Studios
11431;Foam Sword
11434;GameChanger Studio
11503;Konstructors
11518;Design Factory
11531;Lucy Blundell
11532;Kinmoku
11586;Oculus Studios
11608;X.D. Network Inc.
11656;Phoenix Labs
11662;Annapurna Interactive
11671;Onyx Lute
11674;Sloclap
11694;Ballistic
11705;Argonaut Software Ltd.
11746;Hamumu Software
11753;8 Floor Ltd.
11754;SPL
11757;Cattle Call
11760;ForwardWorks
11788;Pewter Games Studios
11797;Silver Lemur Games
11805;Billy Goat Entertainment Ltd
11830;NVLMaker
11839;Studio Zero
11856;WB Games San Francisco
11868;Sunward Games
11872;NEKO WORKs
11919;Noclip Team
11926;Red Candle Games
11927;Coconut Island Games
11941;Asmodee Digital
11943;Game Atelier
11948;Feardemic
11960;Motion Twin
11975;WhisperGames
11994;Darkflow Software
12016;Accidental Queens
12017;Rayark Inc.
12019;Dragon Slumber
12027;Spotlightor Interactive
12028;E-Home Entertainment
12033;Wright Flyer Studios
12052;No Code
12055;Onion Games
12056;Whippering
12057;Midipixel
12062;Studio Saizensen
12084;Excalibur Games
12126;Suricate Software
12147;The Game Band
12180;CFK Co., Ltd.
12184;Ludomotion
12187;Casual Bit Games
12196;Radiation Blue
