id,name
6957,Flyhigh Works
6965,Allods Team
7064,Orangepixel
7336,Trinigy GmbH
7408,Design Design
7438,Kalypso Media Digital
7571,Virtual Basement LLC
7676,Chubby Pixel
7677,Giulia Airoldi
7689,Thunder Mountain
7890,Merscom
7903,My.com
7923,Blue Byte
7947,Freeze Tag Inc.
7949,Linksolutions Ltd.
8003,Kot in Action Creative Artel
8474,ChessBase
8555,Shit-Happens-Software
8574,Unknown Identity
8804,Caiysware
9066,Marvelous Europe Ltd.
9157,nalothchris
9213,BadLand Games SL
9323,Pilgrim Adventures
9447,"Microcomputer Games, Inc."
9608,Bandai Namco Entertainment America
9666,Bandai Namco Entertainment Asia
10295,Hidden Variable Studios
10327,Studio Voltz
10461,Developmental Learning Materials
10528,Addictive Games Ltd
10536,Nordic Softsales AB
10550,M. Hanka
10607,GTArcade.com
10862,Another Indie
10870,Goblinz Studio
10990,Infrogrames
11161,Shadowsoft
11247,"Mindscape, Inc."
11373,NAMCO BANDAI Games America Inc.
11609,Mr Chip Software
11667,Firebird Software
11692,Micro Projects Engineering
11877,Troo Gaming
11941,Asmodee Digital
12049,Pinokl Games
12181,GeneX
12244,Nighthawk Interactive
12257,Arxel Tribe
12260,Mgaia Studio
12533,Dogwood Gaming
12629,Aniware AB
12734,VIS Games
13004,Icon Design Ltd.
13126,Kongregate
13173,"SOTSU CO.,LTD."
13228,Honey Parade Games
13291,Imaginati Studios
13294,FoxNext Games
13367,Openoko Entertainment
13524,Interton
13579,PUBG Corp
13633,Sandbox Studios
13648,Unties
13655,Exe-Create Inc.
13722,Digital Eclipse Software
13723,"Stern Electronics, Inc."
13882,Jinx
13913,Enjoy Gaming Ltd.
13940,Rovio Mobile
13995,Virgin Play
14023,Iggymob
14123,Open Sesame
14185,Enjoy Games
14420,Ice Code Games
14762,Zodiac Interactive
14766,Bluish-Green Games
14931,FoxNext VR Studio
15137,Neox Studios
15145,Ionos
15190,Ultimate Games S.A.
15291,SONKA
15471,Mark Kondor
15517,Delirma
15664,Ghost_RUS Games
15867,Capitol Ideas Software
15870,Iron Horse Games
15878,Sega Games
15910,"TOM CREATE CO.,LTD."
16143,PikPok
16233,CubeGame
16367,Sega CS1
16437,Team17
17022,Soft Action
17200,Dilemma Studio
17232,Grumpy
17560,Creobit
17580,DNB Media
17983,HH-Games
18084,GameOn Production
18204,0Cube
18295,"Ryu Productions Co., Ltd"
18296,流一心
18470,Akatsuki Works
18474,1C Entertainment
18610,Electric Square
18754,GrabTheGames
19870,G-MODE Corporation
20611,Kagura Games
20896,The Yogscast
20926,Toucan Studio
21212,KanedaGames
21282,Different Tales
21337,TomoToro
21429,GameTrek
21448,Jonathan Lessard
21509,Infini-Brain inc.
21576,Entertainment Forge
21615,Way Down Deep
22073,Press Start Inc.
22190,Christopher Salomon
22302,M-trix
22365,Uniqlo
22405,Sol 6 Studios
22491,Youxicehuahuisuo
22623,Star Link
23169,Disney
23786,"Rogue Games, Incorporated"
24183,Telenet
24213,Interplay
24296,My Owl Software
24454,Lazurite Games
24762,Cyro Interactive
25068,Yes Productions
25204,Epic Devs LLC
25466,Rovio Mobile Oyj
25883,Cow
26244,Insatiable Cycle
26263,SMW Central
26365,Samobee Games
26774,赤山游戏工作室
27263,Nesbox
27294,Crystal Northwest
27333,Camerica Limited
27414,Star Consult
27498,Extreme
27533,Diamond Head
27646,Kero Makura
27903,Daniel Ravipinto
28158,DigitalEZ
28276,2P Games
29221,Heatherglade Publishing
30357,Mind Fields
31268,Masterstrike
